iteration,reward_mean,reward_dev,wins,draws,loss
500,-10.0,0.0,0,0,2.8557000160217285
1000,-10.0,0.0,0,0,1.1765799522399902
1500,-10.0,0.0,0,0,0.5811499953269958
2000,-10.0,0.0,0,0,0.2945399880409241
2500,-10.0,0.0,0,0,0.17556999623775482
3000,-10.0,0.0,0,0,0.08613999933004379
3500,-8.0,6.0,1,0,0.12093000113964081
4000,-10.0,0.0,0,0,0.10029000043869019
4500,-6.0,8.0,2,0,0.8329300284385681
5000,-4.0,9.17,3,0,0.08487000316381454
5500,-2.0,9.8,4,0,0.05939999967813492
6000,-6.0,8.0,2,0,2.162869930267334
6500,-6.0,8.0,2,0,0.12489999830722809
7000,-6.0,8.0,2,0,0.519349992275238
7500,-4.0,9.17,3,0,0.581309974193573
8000,-4.0,9.17,3,0,0.9212999939918518
8500,-4.0,9.17,3,0,0.14751000702381134
9000,-8.0,6.0,1,0,0.1699800044298172
9500,-2.0,9.8,4,0,0.13130000233650208
10000,-4.0,9.17,3,0,0.22538000345230103
10500,-6.0,8.0,2,0,1.0426599979400635
11000,-4.0,9.17,3,0,0.4047900140285492
11500,-4.0,9.17,3,0,0.7461400032043457
12000,0.0,10.0,5,0,0.4846700131893158
12500,-6.0,8.0,2,0,0.23412999510765076
13000,-2.0,9.8,4,0,1.1461999416351318
13500,-6.0,8.0,2,0,0.2608500123023987
14000,-6.0,8.0,2,0,0.6186100244522095
14500,-2.0,9.8,4,0,0.8621500134468079
15000,-4.0,9.17,3,0,0.5683500170707703
15500,-2.0,9.8,4,0,1.2893799543380737
16000,-4.0,9.17,3,0,0.909529983997345
16500,-6.0,8.0,2,0,0.7150200009346008
17000,-6.0,8.0,2,0,0.637690007686615
17500,-4.0,9.17,3,0,0.4478699862957001
18000,0.0,10.0,5,0,0.4897100031375885
18500,2.0,9.8,6,0,1.002769947052002
19000,-4.0,9.17,3,0,0.7708600163459778
19500,0.0,10.0,5,0,1.0244899988174438
20000,-6.0,8.0,2,0,0.9905999898910522
20500,-4.0,9.17,3,0,0.3887900114059448
21000,-8.0,6.0,1,0,0.7842900156974792
21500,-2.0,9.8,4,0,1.139870047569275
22000,-2.0,9.8,4,0,0.5182999968528748
22500,-4.0,9.17,3,0,1.6558799743652344
23000,0.0,10.0,5,0,1.4119399785995483
23500,-6.0,8.0,2,0,1.028090000152588
24000,-8.0,6.0,1,0,1.287060022354126
24500,-6.0,8.0,2,0,1.6896400451660156
25000,4.0,9.17,7,0,1.8909200429916382
25500,-6.0,8.0,2,0,1.3852200508117676
26000,2.0,9.8,6,0,1.584939956665039
26500,2.0,9.8,6,0,1.6001499891281128
27000,-3.0,9.0,3,1,1.2908200025558472
27500,-4.0,9.17,3,0,1.1219700574874878
28000,0.0,10.0,5,0,1.7084399461746216
28500,4.0,9.17,7,0,1.4229199886322021
29000,-4.0,9.17,3,0,1.1567399501800537
29500,-2.0,9.8,4,0,1.0258599519729614
30000,2.0,9.8,6,0,1.585279941558838
30500,0.0,10.0,5,0,1.5093899965286255
31000,2.0,9.8,6,0,1.1824300289154053
31500,0.0,10.0,5,0,1.707200050354004
32000,8.0,6.0,9,0,1.7008899450302124
32500,4.0,9.17,7,0,1.6901099681854248
33000,0.0,10.0,5,0,1.5405000448226929
33500,-2.0,9.8,4,0,1.165429949760437
34000,2.0,9.8,6,0,1.0204399824142456
34500,2.0,9.8,6,0,1.918470025062561
35000,6.0,8.0,8,0,1.1338900327682495
35500,4.0,9.17,7,0,1.6978600025177002
36000,0.0,10.0,5,0,1.4671900272369385
36500,-2.0,9.8,4,0,1.0237400531768799
37000,0.0,10.0,5,0,1.079859972000122
37500,0.0,10.0,5,0,0.9302600026130676
38000,-1.0,9.43,4,1,2.1352999210357666
38500,4.0,9.17,7,0,1.9646799564361572
39000,4.0,9.17,7,0,1.2660900354385376
39500,4.0,9.17,7,0,1.6177799701690674
40000,10.0,0.0,10,0,1.50246000289917
40500,0.0,10.0,5,0,2.114259958267212
41000,1.0,9.43,5,1,1.6450599431991577
41500,4.0,9.17,7,0,1.085319995880127
42000,2.0,9.8,6,0,1.239740014076233
42500,1.0,9.43,5,1,1.1361700296401978
43000,2.0,9.8,6,0,0.9882400035858154
43500,5.0,8.06,7,1,1.0509899854660034
44000,4.0,8.0,6,2,1.2459399700164795
44500,2.0,9.8,6,0,1.9724600315093994
45000,-2.0,9.8,4,0,2.0289599895477295
45500,8.0,6.0,9,0,0.9759500026702881
46000,8.0,6.0,9,0,1.564229965209961
46500,4.0,9.17,7,0,0.7785000205039978
47000,-2.0,9.8,4,0,1.7199699878692627
47500,2.0,9.8,6,0,1.046120047569275
48000,-4.0,9.17,3,0,1.0678499937057495
48500,0.0,10.0,5,0,2.2727301120758057
49000,2.0,9.8,6,0,1.1480799913406372
49500,6.0,8.0,8,0,1.7571899890899658
50000,-2.0,9.8,4,0,1.1737799644470215
50500,0.0,10.0,5,0,1.1524200439453125
51000,4.0,9.17,7,0,1.3697999715805054
